sent_id,teks,token_id,token,lemma,upos,xpos,feats,head,deprel,misc,negasi_scope
train-s1017,"Niu Lang jatuh cinta pada pandangan pertama kemudian mencuri jubah ajaib miliknya yang ditinggalkan di tepi sungai, akibatnya Zhinu tidak dapat kembali ke surga.",1,Niu,niu,PROPN,X--,-,3,nsubj,{'MorphInd': '^niu<x>_X--$'},Out_Scope
train-s1017,"Niu Lang jatuh cinta pada pandangan pertama kemudian mencuri jubah ajaib miliknya yang ditinggalkan di tepi sungai, akibatnya Zhinu tidak dapat kembali ke surga.",2,Lang,lang,PROPN,F--,-,1,flat,{'MorphInd': '^lang<f>_F--$'},Out_Scope
train-s1017,"Niu Lang jatuh cinta pada pandangan pertama kemudian mencuri jubah ajaib miliknya yang ditinggalkan di tepi sungai, akibatnya Zhinu tidak dapat kembali ke surga.",3,jatuh,jatuh,VERB,VSA,"{'Number': 'Sing', 'Voice': 'Act'}",0,root,{'MorphInd': '^jatuh<v>_VSA$'},Out_Scope
train-s1017,"Niu Lang jatuh cinta pada pandangan pertama kemudian mencuri jubah ajaib miliknya yang ditinggalkan di tepi sungai, akibatnya Zhinu tidak dapat kembali ke surga.",4,cinta,cinta,NOUN,NSD,{'Number': 'Sing'},3,obj,{'MorphInd': '^cinta<n>_NSD$'},Out_Scope
train-s1017,"Niu Lang jatuh cinta pada pandangan pertama kemudian mencuri jubah ajaib miliknya yang ditinggalkan di tepi sungai, akibatnya Zhinu tidak dapat kembali ke surga.",5,pada,pada,ADP,R--,-,6,case,{'MorphInd': '^pada<r>_R--$'},Out_Scope
train-s1017,"Niu Lang jatuh cinta pada pandangan pertama kemudian mencuri jubah ajaib miliknya yang ditinggalkan di tepi sungai, akibatnya Zhinu tidak dapat kembali ke surga.",6,pandangan,pandangan,NOUN,NSD,{'Number': 'Sing'},3,obl,{'MorphInd': '^pandang<v>+an_NSD$'},Out_Scope
train-s1017,"Niu Lang jatuh cinta pada pandangan pertama kemudian mencuri jubah ajaib miliknya yang ditinggalkan di tepi sungai, akibatnya Zhinu tidak dapat kembali ke surga.",7,pertama,pertama,ADJ,CO-,-,6,amod,{'MorphInd': '^pertama<c>_CO-$'},Out_Scope
train-s1017,"Niu Lang jatuh cinta pada pandangan pertama kemudian mencuri jubah ajaib miliknya yang ditinggalkan di tepi sungai, akibatnya Zhinu tidak dapat kembali ke surga.",8,kemudian,kemudian,ADV,S--,-,9,advmod,{'MorphInd': '^kemudian<s>_S--$'},Out_Scope
train-s1017,"Niu Lang jatuh cinta pada pandangan pertama kemudian mencuri jubah ajaib miliknya yang ditinggalkan di tepi sungai, akibatnya Zhinu tidak dapat kembali ke surga.",9,mencuri,mencuri,VERB,VSA,"{'Number': 'Sing', 'Voice': 'Act'}",3,xcomp,{'MorphInd': '^meN+curi<v>_VSA$'},Out_Scope
train-s1017,"Niu Lang jatuh cinta pada pandangan pertama kemudian mencuri jubah ajaib miliknya yang ditinggalkan di tepi sungai, akibatnya Zhinu tidak dapat kembali ke surga.",10,jubah,jubah,NOUN,NSD,{'Number': 'Sing'},9,obj,{'MorphInd': '^jubah<n>_NSD$'},Out_Scope
train-s1017,"Niu Lang jatuh cinta pada pandangan pertama kemudian mencuri jubah ajaib miliknya yang ditinggalkan di tepi sungai, akibatnya Zhinu tidak dapat kembali ke surga.",11,ajaib,ajaib,ADJ,ASP,"{'Degree': 'Pos', 'Number': 'Sing'}",10,amod,{'MorphInd': '^ajaib<a>_ASP$'},Out_Scope
