sent_id,teks,token_id,token,lemma,upos,xpos,feats,head,deprel,misc,tipe_afiks
train-s141,Siapa yang berani mencuri binatang buas ini?,2,yang,yang,PRON,S--,{'PronType': 'Rel'},4,nsubj,{'MorphInd': '^yang<s>_S--$'},Tidak Berimbuhan
train-s2854,"Razi diketahui sebagai seorang ilmuwan yang menemukan penyakit ""alergi asma"", dan ilmuwan pertama yang menulis tentang alergi dan imunologi.",5,ilmuwan,ilmuwan,NOUN,NSM,"{'Gender': 'Masc', 'Number': 'Sing'}",2,obl,{'MorphInd': '^ilmu<n>+wan_NSM$'},Sufiks
train-s846,Bintil akan muncul di seluruh atau hanya sebagian jalur saraf yang terkait.,5,seluruh,seluruh,DET,B--,{'PronType': 'Tot'},9,det,{'MorphInd': '^seluruh<b>_B--$'},Tidak Berimbuhan
train-s3281,Nominasi Piala Citra FFI 2008 - Pemeran Utama Pria (Aming),3,Citra,citra,PROPN,NSD,{'Number': 'Sing'},2,flat,{'MorphInd': '^citra<n>_NSD$'},Tidak Berimbuhan
train-s3877,"Ketika Craig Mabbitt berusaha untuk kembali ke Blessthefall, anggota band memutuskan untuk tidak membiarkan dia kembali, mereka lebih memilih untuk melanjutkan tanpa dia, mereka menolaknya karena dia adalah seorang pecandu alkohol.",8,Blessthefall,blessthefall,PROPN,X--,_,6,obl,"{'SpaceAfter': 'No', 'MorphInd': '^blessthefall<x>_X--$'}",Tidak Berimbuhan
train-s1265,"Film ini dibintangi antara lain oleh Sharon Jessica, Muhammad Fardhan, Aditya Firmansyah, Kimberly Ryder, Sarah Sechan, Lula Kamal, dan Alex Komang dengan yang dirilis pada tanggal Jumat, 26 September 2008 pada saat libur Lebaran dengan lagu tema berjudul I Just Wanna Say I Love You yang dinyanyikan vokal oleh Potret.",45,berjudul,berjudul,VERB,VSA,"{'Number': 'Sing', 'Voice': 'Act'}",43,acl,{'MorphInd': '^ber+judul<n>_VSA$'},Prefiks
train-s3850,"Istana Seri Menanti di Kuala Pilah, Negeri Sembilan Malaysia adalah sebuah istana yang dirujuk lazimnya dalam konteks ini adalah sebuah bangunan lama yang masih utuh, dan dibuat dari kayu yang menjadi kediaman resmi Yang di - Pertuan Besar Negeri Sembilan sekitar tahun 1900 - an sampai sekarang, bangunan ini bisa dikategorikan suatu warisan sejarah, istana itu telah berubah fungsi menjadi museum.",15,dirujuk,dirujuk,VERB,VSP,"{'Number': 'Sing', 'Voice': 'Pass'}",13,acl,{'MorphInd': '^di+rujuk<v>_VSP$'},Prefiks
train-s494,"Balai ini tak hanya akan berfungsi sebagai monumen saja tetapi juga sebagai tempat sanggar budaya, pameran seni, ruang pendidikan, akademis, dan tempat berekreasi.",4,hanya,hanya,ADV,D--,_,6,advmod,{'MorphInd': '^hanya<d>_D--$'},Tidak Berimbuhan
train-s2092,"Pada bulan November 1948, Wakil Presiden Mohammad Hatta mengadakan perjalanan keliling Sumatra dengan rute Maguwo - Jambi - Payakumbuh - Kutaraja - Payakumbuh - Maguwo.",6,Wakil,wakil,PROPN,NSD,{'Number': 'Sing'},10,nsubj,{'MorphInd': '^wakil<n>_NSD$'},Tidak Berimbuhan
train-s533,"Pengalaman - pengalamannya ini dicatatnya dalam bukunya yang terbit pada 1981, Prisoner Without a Name, Cell Without a Number (Penjara yang Tak Bernama, dan Sel yang Tak Bernomor).",5,dicatatnya,dicatat,NOUN,VSP+PS3,"{'Number': 'Sing', 'Number[psor]': 'Sing', 'Person[psor]': '3', 'Voice': 'Pass'}",0,root,{'MorphInd': '^di+catat<v>_VSP+dia<p>_PS3$'},Prefiks
train-s2468,"Mereka adalah Abdullah bin Zubair, Abdullah bin Abbas, Abdullah bin Umar, dan Abdullah bin Amr bin Ash. Selain itu, terdapat satu orang lagi bernama Abdullah yang juga disebut ""berotak cemerlang"" yaitu Abdullah bin Mas 'ud.",5,Zubair,zubair,PROPN,X--,_,4,flat,"{'SpaceAfter': 'No', 'MorphInd': '^zubair<x>_X--$'}",Tidak Berimbuhan
train-s2237,"Peneliti C. Salmon dan M. Sidharta lebih meyakini kisah terjadi tidak sampai 50 tahun kemudian, berdasarkan perkiraan bahwa tahun kedatangan Tan Cin Jin di Blambangan adalah setelah Tahun 1729 (tahun penguasaan Mengwi atas Blambangan) dan tahun kehancuran Blambangan (berdasarkan tulisan ini) adalah di Tahun 1765.",17,kemudian,kemudian,DET,S--,{'PronType': 'Rel'},16,amod,"{'SpaceAfter': 'No', 'MorphInd': '^kemudian<s>_S--$'}",Tidak Berimbuhan
train-s626,"Rock telah dikritik oleh beberapa tokoh agama Kristen, yang telah dikutuk sebagai tidak bermoral, anti - Kristen dan bahkan setan. Namun, Christian rock mulai berkembang pada akhir 1960 - an, terutama muncul pada awal gerakan Yesus di California Selatan, dan muncul sebagai sub - genre pada 1970 - an dengan artis seperti Larry Norman, yang biasanya dianggap sebagai ""bintang"" besar pertama dari Christian rock. Genre ini sangat populer di Amerika Serikat.",70,pertama,pertama,NUM,CO-,{'NumType': 'Card'},67,amod,{'MorphInd': '^pertama<c>_CO-$'},Tidak Berimbuhan
train-s1873,player harus melakukan misi tersebut dan mendapatkan harta karun untuk upgrade senjata.,1,player,player,NOUN,F--,_,3,nsubj,{'MorphInd': '^player<f>_F--$'},Tidak Berimbuhan
train-s1774,"Namun, di Yunani sekarang ibadah dirayakan dalam bahasa Yunani yang dimengerti umat, bukan bahasa Yunani abad pertama.",18,abad,abad,NOUN,NSD,{'Number': 'Sing'},16,compound,{'MorphInd': '^abad<n>_NSD$'},Tidak Berimbuhan
train-s676,Saat ini Pak Har juga sudah menikah dengan ibu Vincentia Dyah Budiastuti dan dikaruniai 2 orang anak yaitu Arlandianto P dan Febriandianto P. Beliau dikukuhkan sebagai guru besar dari Universitas Binus pada tahun 2009 dan merupakan profesor ke - 2 yang berhasil dikukuhkan di Universitas Bina Nusantara.,28,guru,guru,NOUN,NSD,{'Number': 'Sing'},26,obl,{'MorphInd': '^guru<n>_NSD$'},Tidak Berimbuhan
train-s1211,Pada 23 September 1754 akhirnya tercapai nota kesepahaman bahwa Pangeran Mangkubumi akan memakai gelar Sultan dan mendapatkan setengah Kerajaan.,1,Pada,pada,ADP,R--,_,3,case,{'MorphInd': '^pada<r>_R--$'},Tidak Berimbuhan
train-s185,"Pihak berwenang menemukan dua pistol 9mm dari tempat kejadian: satu Glock dan satu Sauer SIG. Sebuah senapan dengan kaliber 223 yang diproduksi oleh BBushmaster Firearms International ditemukan di belakang sebuah mobil di tempat parkir, namun tidak digunakan di sekolah.",9,kejadian,kejadian,NOUN,NSD,{'Number': 'Sing'},8,compound,"{'SpaceAfter': 'No', 'MorphInd': '^ke+jadi<a>+an_NSD$'}",Konfiks
train-s1670,"Rasulullah SAW bersabda: ""Orang yang ditanya tidak lebih tahu daripada yang menanya.",12,daripada,daripada,ADP,S--,_,11,case,{'MorphInd': '^daripada<s>_S--$'},Tidak Berimbuhan
