sent_id,token_id,token,label_silver,label_otomatis,cocok
train-s141,2,yang,Tidak Berimbuhan,Tidak Berimbuhan,True
train-s2854,5,ilmuwan,Sufiks,Sufiks,True
train-s846,5,seluruh,Tidak Berimbuhan,Tidak Berimbuhan,True
train-s3281,3,Citra,Tidak Berimbuhan,Tidak Berimbuhan,True
train-s3877,8,Blessthefall,Tidak Berimbuhan,Tidak Berimbuhan,True
train-s1265,45,berjudul,Prefiks,Prefiks,True
train-s3850,15,dirujuk,Prefiks,Prefiks,True
train-s494,4,hanya,Tidak Berimbuhan,Tidak Berimbuhan,True
train-s2092,6,Wakil,Tidak Berimbuhan,Tidak Berimbuhan,True
train-s533,5,dicatatnya,Prefiks,Prefiks,True
train-s2468,5,Zubair,Tidak Berimbuhan,Tidak Berimbuhan,True
train-s2237,17,kemudian,Tidak Berimbuhan,Tidak Berimbuhan,True
train-s626,70,pertama,Tidak Berimbuhan,Tidak Berimbuhan,True
train-s1873,1,player,Tidak Berimbuhan,Tidak Berimbuhan,True
train-s1774,18,abad,Tidak Berimbuhan,Tidak Berimbuhan,True
train-s676,28,guru,Tidak Berimbuhan,Tidak Berimbuhan,True
train-s1211,1,Pada,Tidak Berimbuhan,Tidak Berimbuhan,True
train-s185,9,kejadian,Konfiks,Konfiks,True
train-s1670,12,daripada,Tidak Berimbuhan,Tidak Berimbuhan,True
train-s384,9,yang,Tidak Berimbuhan,Tidak Berimbuhan,True
train-s3654,6,2013,Tidak Berimbuhan,Tidak Berimbuhan,True
train-s2617,13,lantaran,Tidak Berimbuhan,Tidak Berimbuhan,True
train-s4025,38,pada,Tidak Berimbuhan,Tidak Berimbuhan,True
train-s487,19,bermain,Prefiks,Prefiks,True
train-s474,30,dan,Tidak Berimbuhan,Tidak Berimbuhan,True
train-s2240,46,dan,Tidak Berimbuhan,Tidak Berimbuhan,True
train-s456,6,kualifikasi,Tidak Berimbuhan,Tidak Berimbuhan,True
train-s4182,44,bermuatan,Konfiks,Konfiks,True
train-s267,5,dengan,Tidak Berimbuhan,Tidak Berimbuhan,True
train-s2928,52,Bombardemen,Tidak Berimbuhan,Tidak Berimbuhan,True
train-s2226,3,mengepung,Prefiks,Prefiks,True
train-s447,4,Tadase,Tidak Berimbuhan,Tidak Berimbuhan,True
train-s2181,2,Tiga,Tidak Berimbuhan,Tidak Berimbuhan,True
train-s3338,9,di,Tidak Berimbuhan,Tidak Berimbuhan,True
train-s3258,22,diseduh,Prefiks,Tidak Berimbuhan,False
train-s3974,1,Mesin,Tidak Berimbuhan,Tidak Berimbuhan,True
train-s3285,91,21,Tidak Berimbuhan,Tidak Berimbuhan,True
train-s2163,33,berbagai,Prefiks,Tidak Berimbuhan,False
train-s351,11,penyakit,Prefiks,Prefiks,True
train-s3189,23,pamungkas,Tidak Berimbuhan,Tidak Berimbuhan,True
train-s2509,4,satu,Tidak Berimbuhan,Tidak Berimbuhan,True
train-s2395,24,FX,Tidak Berimbuhan,Tidak Berimbuhan,True
train-s2811,16,yang,Tidak Berimbuhan,Tidak Berimbuhan,True
train-s2731,1,Berkat,Tidak Berimbuhan,Tidak Berimbuhan,True
train-s1362,8,dilimpahkan,Konfiks,Konfiks,True
train-s2407,1,Ichigo,Tidak Berimbuhan,Tidak Berimbuhan,True
train-s156,17,pamannya,Tidak Berimbuhan,Tidak Berimbuhan,True
train-s2211,30,dengan,Tidak Berimbuhan,Tidak Berimbuhan,True
train-s806,14,untuk,Tidak Berimbuhan,Tidak Berimbuhan,True
train-s3183,41,.,Tidak Berimbuhan,Tidak Berimbuhan,True
train-s2635,8,CPOKU,Tidak Berimbuhan,Tidak Berimbuhan,True
train-s1264,4,jangka,Tidak Berimbuhan,Tidak Berimbuhan,True
train-s284,11,Barat,Tidak Berimbuhan,Tidak Berimbuhan,True
train-s2651,6,mengambil,Prefiks,Prefiks,True
train-s190,7,dari,Tidak Berimbuhan,Tidak Berimbuhan,True
train-s657,5,berminyak,Prefiks,Prefiks,True
train-s535,5,bakar,Tidak Berimbuhan,Tidak Berimbuhan,True
train-s2639,16,lain,Tidak Berimbuhan,Tidak Berimbuhan,True
train-s4445,1,Ketika,Tidak Berimbuhan,Tidak Berimbuhan,True
train-s2632,8,saja,Tidak Berimbuhan,Tidak Berimbuhan,True
train-s2036,21,album,Tidak Berimbuhan,Tidak Berimbuhan,True
train-s3070,8,di,Tidak Berimbuhan,Tidak Berimbuhan,True
train-s1300,21,kali,Tidak Berimbuhan,Tidak Berimbuhan,True
train-s71,14,konsep,Tidak Berimbuhan,Tidak Berimbuhan,True
train-s2446,28,dipatahkan,Konfiks,Konfiks,True
train-s2588,6,gerak,Tidak Berimbuhan,Tidak Berimbuhan,True
train-s412,5,torsi,Tidak Berimbuhan,Tidak Berimbuhan,True
train-s4135,12,theme,Tidak Berimbuhan,Tidak Berimbuhan,True
train-s2417,14,butir,Tidak Berimbuhan,Tidak Berimbuhan,True
train-s1237,16,di,Tidak Berimbuhan,Tidak Berimbuhan,True
train-s2744,28,USB,Tidak Berimbuhan,Tidak Berimbuhan,True
train-s4119,5,kecamatan,Konfiks,Konfiks,True
train-s2104,17,radio,Tidak Berimbuhan,Tidak Berimbuhan,True
train-s4109,9,pada,Tidak Berimbuhan,Tidak Berimbuhan,True
train-s3118,2,memutuskan,Konfiks,Konfiks,True
train-s994,35,dan,Tidak Berimbuhan,Tidak Berimbuhan,True
