sent_id,token_id,kalimat,head,deprel
train-s1,1,Sembungan,4,nsubj
train-s1,2,adalah,4,cop
train-s1,3,sebuah,4,det
train-s1,4,desa,0,root
train-s1,5,yang,6,nsubj:pass
train-s1,6,terletak,4,acl
train-s1,7,di,8,case
train-s1,8,kecamatan,6,obl
train-s1,9,Kejajar,8,flat
train-s1,10,",",8,punct
train-s1,11,kabupaten,8,appos
train-s1,12,Wonosobo,11,flat
train-s1,13,",",11,punct
train-s1,14,Jawa,11,appos
train-s1,15,Tengah,14,amod
train-s1,16,",",14,punct
train-s1,17,Indonesia,14,appos
train-s1,18,.,4,punct
train-s2,1,Sebuah,2,det
train-s2,2,serangan,5,nsubj
train-s2,3,pengayauan,2,compound
train-s2,4,biasanya,5,advmod
train-s2,5,terjadi,0,root
train-s2,6,di,7,case
train-s2,7,ladang,5,obl
train-s2,8,atau,7,cc
train-s2,9,dengan,10,case
train-s2,10,membakar,7,acl
train-s2,11,sebuah,12,det
train-s2,12,rumah,10,obj
train-s2,13,dan,14,cc
train-s2,14,memenggal,10,conj
train-s2,15,semua,16,det
train-s2,16,penghuninya,14,obj
train-s2,17,ketika,19,mark
train-s2,18,mereka,19,nsubj
train-s2,19,melarikan,14,advcl
train-s2,20,diri,19,obj
train-s2,21,.,5,punct
train-s3,1,Perkembangan,3,nsubj:pass
train-s3,2,ini,1,det
train-s3,3,diikuti,0,root
train-s3,4,oleh,5,case
train-s3,5,helm,3,obl
train-s3,6,Brodie,5,flat
train-s3,7,yang,8,nsubj:pass
train-s3,8,dipakai,5,acl
train-s3,9,tentara,8,obl
train-s3,10,Imperium,9,flat
train-s3,11,Britania,10,flat
train-s3,12,dan,13,cc
train-s3,13,AS,11,conj
train-s3,14,",",5,punct
train-s3,15,dan,8,cc
train-s3,16,pada,17,case
train-s3,17,tahun,20,nmod
train-s3,18,1916,17,nummod
train-s3,19,oleh,20,case
train-s3,20,Stahlhelm,8,obl
train-s3,21,Jerman,20,flat
train-s3,22,dengan,23,case
train-s3,23,perbaikan,20,nmod
train-s3,24,desain,23,compound
train-s3,25,yang,27,nsubj:pass
train-s3,26,masih,27,advmod
train-s3,27,dipakai,24,acl
train-s3,28,sampai,29,case
train-s3,29,sekarang,27,obl
train-s3,30,.,3,punct
train-s4,1,Dari,2,case
train-s4,2,jarak,14,obl
train-s4,3,dekat,2,amod
train-s4,4,",",14,punct
train-s4,5,dua,6,nummod
train-s4,6,kapal,14,nsubj
train-s4,7,perusak,6,amod
train-s4,8,",",6,punct
train-s4,9,Sterett,6,appos
train-s4,10,dan,11,cc
train-s4,11,O,9,conj
train-s4,12,',11,punct
train-s4,13,Bannon,11,flat
train-s4,14,menembakkan,0,root
train-s4,15,beberapa,16,det
train-s4,16,kali,14,advmod
train-s4,17,salvo,14,obj
train-s4,18,ke,19,case
train-s4,19,bangunan,14,obl
train-s4,20,atas,21,case
train-s4,21,kapal,14,obl
train-s4,22,Hiei,21,flat
train-s4,23,.,14,punct
train-s4,24,Sebelum,25,mark
train-s4,25,melarikan,34,advcl
train-s4,26,diri,25,obj
train-s4,27,ke,29,case
train-s4,28,dalam,29,case
train-s4,29,kegelapan,25,obl
train-s4,30,",",34,punct
train-s4,31,keduanya,34,nsubj
train-s4,32,mungkin,34,advmod
train-s4,33,sempat,34,advmod
train-s4,34,menyarangkan,14,dep
train-s4,35,satu,39,nummod
train-s4,36,atau,37,cc
train-s4,37,dua,35,conj
train-s4,38,buah,39,det
train-s4,39,torpedo,34,obj
train-s4,40,ke,41,case
train-s4,41,bagian,34,obl
train-s4,42,lambung,41,compound
train-s4,43,kapal,42,compound
train-s4,44,Hiei,43,flat
train-s4,45,hingga,47,case
train-s4,46,makin,47,advmod
train-s4,47,memperparah,34,xcomp
train-s4,48,kerusakan,47,obj
train-s4,49,.,34,punct
train-s5,1,Angka,8,nsubj
train-s5,2,harapan,1,compound
train-s5,3,hidup,2,compound
train-s5,4,adalah,8,cop
train-s5,5,73,8,acl
train-s5,6,",",8,punct
train-s5,7,4,8,nummod
train-s5,8,tahun,0,root
train-s5,9,",",8,punct
train-s5,10,yakni,8,mark
train-s5,11,di,12,case
train-s5,12,bawah,8,nmod
train-s5,13,rerata,12,nmod
train-s5,14,Uni,13,flat
train-s5,15,Eropa,14,flat
train-s5,16,.,8,punct
train-s6,1,Pasukan,12,nsubj:pass
train-s6,2,Mongol,1,flat
train-s6,3,yang,5,nsubj
train-s6,4,tidak,5,advmod
train-s6,5,tahu,1,acl
train-s6,6,apa,5,obj
train-s6,7,yang,10,obj
train-s6,8,harus,10,advmod
train-s6,9,mereka,10,nsubj
train-s6,10,perbuat,6,acl
train-s6,11,itu,1,det
train-s6,12,disiasati,0,root
train-s6,13,oleh,14,case
train-s6,14,Raden,12,obl
train-s6,15,Wijaya,14,flat
train-s6,16,untuk,17,case
train-s6,17,membantunya,12,xcomp
train-s6,18,memberontak,17,xcomp
train-s6,19,melawan,20,case
train-s6,20,kerajaan,18,obl
train-s6,21,Kediri,20,flat
train-s6,22,.,12,punct
train-s7,1,Krogh,6,nsubj
train-s7,2,juga,6,advmod
train-s7,3,yang,5,nsubj
train-s7,4,pertama,5,amod
train-s7,5,kali,6,obl
train-s7,6,membuat,0,root
train-s7,7,studi,6,obj
train-s7,8,perbandingan,7,compound
train-s7,9,pada,10,case
train-s7,10,hewan,6,obl
train-s7,11,.,6,punct
train-s8,1,Lagu,4,nsubj:pass
train-s8,2,ini,1,det
train-s8,3,kemudian,4,advmod
train-s8,4,ditampilkan,0,root
train-s8,5,sebagai,6,case
train-s8,6,lagu,4,obl
train-s8,7,utama,6,amod
train-s8,8,dalam,9,case
train-s8,9,rilisan,6,nmod
train-s8,10,EP,9,flat
train-s8,11,(,12,punct
train-s8,12,Extended,9,appos
train-s8,13,Play,12,flat
train-s8,14,),12,punct
train-s8,15,",",12,punct
train-s8,16,Moshi,12,flat
train-s8,17,Moshi,16,flat
train-s8,18,Harajuku,17,flat
train-s8,19,",",21,punct
train-s8,20,dan,21,cc
train-s8,21,album,9,conj
train-s8,22,"""",23,punct
train-s8,23,Pamyu,9,flat
train-s8,24,Pamyu,23,flat
