sent_id,teks,token_id,token,lemma,upos,xpos,feats,head,deprel,misc,negasi_scope
train-s1017,"Niu Lang jatuh cinta pada pandangan pertama kemudian mencuri jubah ajaib miliknya yang ditinggalkan di tepi sungai, akibatnya Zhinu tidak dapat kembali ke surga.",1,Niu,niu,PROPN,X--,_,3,nsubj,{'MorphInd': '^niu<x>_X--$'},
train-s1017,"Niu Lang jatuh cinta pada pandangan pertama kemudian mencuri jubah ajaib miliknya yang ditinggalkan di tepi sungai, akibatnya Zhinu tidak dapat kembali ke surga.",2,Lang,lang,PROPN,F--,_,1,flat,{'MorphInd': '^lang<f>_F--$'},
train-s1017,"Niu Lang jatuh cinta pada pandangan pertama kemudian mencuri jubah ajaib miliknya yang ditinggalkan di tepi sungai, akibatnya Zhinu tidak dapat kembali ke surga.",3,jatuh,jatuh,VERB,VSA,"{'Number': 'Sing', 'Voice': 'Act'}",0,root,{'MorphInd': '^jatuh<v>_VSA$'},
train-s1017,"Niu Lang jatuh cinta pada pandangan pertama kemudian mencuri jubah ajaib miliknya yang ditinggalkan di tepi sungai, akibatnya Zhinu tidak dapat kembali ke surga.",4,cinta,cinta,NOUN,NSD,{'Number': 'Sing'},3,obj,{'MorphInd': '^cinta<n>_NSD$'},
train-s1017,"Niu Lang jatuh cinta pada pandangan pertama kemudian mencuri jubah ajaib miliknya yang ditinggalkan di tepi sungai, akibatnya Zhinu tidak dapat kembali ke surga.",5,pada,pada,ADP,R--,_,6,case,{'MorphInd': '^pada<r>_R--$'},
train-s1017,"Niu Lang jatuh cinta pada pandangan pertama kemudian mencuri jubah ajaib miliknya yang ditinggalkan di tepi sungai, akibatnya Zhinu tidak dapat kembali ke surga.",6,pandangan,pandangan,NOUN,NSD,{'Number': 'Sing'},3,obl,{'MorphInd': '^pandang<v>+an_NSD$'},
train-s1017,"Niu Lang jatuh cinta pada pandangan pertama kemudian mencuri jubah ajaib miliknya yang ditinggalkan di tepi sungai, akibatnya Zhinu tidak dapat kembali ke surga.",7,pertama,pertama,ADJ,CO-,_,6,amod,{'MorphInd': '^pertama<c>_CO-$'},
train-s1017,"Niu Lang jatuh cinta pada pandangan pertama kemudian mencuri jubah ajaib miliknya yang ditinggalkan di tepi sungai, akibatnya Zhinu tidak dapat kembali ke surga.",8,kemudian,kemudian,ADV,S--,_,9,advmod,{'MorphInd': '^kemudian<s>_S--$'},
train-s1017,"Niu Lang jatuh cinta pada pandangan pertama kemudian mencuri jubah ajaib miliknya yang ditinggalkan di tepi sungai, akibatnya Zhinu tidak dapat kembali ke surga.",9,mencuri,mencuri,VERB,VSA,"{'Number': 'Sing', 'Voice': 'Act'}",3,xcomp,{'MorphInd': '^meN+curi<v>_VSA$'},
train-s1017,"Niu Lang jatuh cinta pada pandangan pertama kemudian mencuri jubah ajaib miliknya yang ditinggalkan di tepi sungai, akibatnya Zhinu tidak dapat kembali ke surga.",10,jubah,jubah,NOUN,NSD,{'Number': 'Sing'},9,obj,{'MorphInd': '^jubah<n>_NSD$'},
train-s1017,"Niu Lang jatuh cinta pada pandangan pertama kemudian mencuri jubah ajaib miliknya yang ditinggalkan di tepi sungai, akibatnya Zhinu tidak dapat kembali ke surga.",11,ajaib,ajaib,ADJ,ASP,"{'Degree': 'Pos', 'Number': 'Sing'}",10,amod,{'MorphInd': '^ajaib<a>_ASP$'},
train-s1017,"Niu Lang jatuh cinta pada pandangan pertama kemudian mencuri jubah ajaib miliknya yang ditinggalkan di tepi sungai, akibatnya Zhinu tidak dapat kembali ke surga.",12,miliknya,milik,NOUN,VSA+PS3,"{'Number': 'Sing', 'Number[psor]': 'Sing', 'Person[psor]': '3', 'Voice': 'Act'}",10,compound,{'MorphInd': '^milik<v>_VSA+dia<p>_PS3$'},
train-s1017,"Niu Lang jatuh cinta pada pandangan pertama kemudian mencuri jubah ajaib miliknya yang ditinggalkan di tepi sungai, akibatnya Zhinu tidak dapat kembali ke surga.",13,yang,yang,PRON,S--,{'PronType': 'Rel'},14,obj,{'MorphInd': '^yang<s>_S--$'},
